"player","white_games","black_games","total"
"alpaguthanturkmen40","8","9","17"
"blogs","9","8","17"
"BogdanJaneLebedGray","9","8","17"
"cezary1970","9","8","17"
"chessigrok","9","8","17"
"dhivyasri","8","9","17"
"dragonsnake44","8","9","17"
"drdilyor","9","8","17"
"erva20","9","8","17"
"Eugene_Made","8","9","17"
"gvorSKI","10","7","17"
"hyper-critical","9","8","17"
"I_like_quick_Mate","8","9","17"
"ishaan-goel","8","9","17"
"karinaweeba","8","9","17"
"Kwikphoenix","9","8","17"
"Mahamatjon","8","9","17"
"MasterNura","9","8","17"
"matarez","9","8","17"
"mymchessfrancis","9","8","17"
"Necochea","7","10","17"
"NguyenMinhHieu7d","9","8","17"
"NightDaFold","9","8","17"
"NoobLT","9","8","17"
"Palithaj","8","9","17"
"penguinn204","9","8","17"
"rinatik","9","8","17"
"RomanKingZorus","10","7","17"
"shravan0209","8","9","17"
"VahinPandurangi","9","8","17"
"waltalgg","8","9","17"
"a7med_elhady","8","8","16"
"AlperKaan2011","8","8","16"
"AyanshBannurmath","10","6","16"
"BulletFrenzy","8","8","16"
"CalebBrown104","8","8","16"
"dakaissa_25","11","5","16"
"Danya1101","8","8","16"
"DrStinkenstein","7","9","16"
"EGORCHESS10","10","6","16"
"Ernur2008","7","9","16"
"fade4","8","8","16"
"grish2013","7","9","16"
"guillepasqui","8","8","16"
"igyd6etigijvgdsrc","8","8","16"
"israSbd","8","8","16"
"jcm_maxwell","8","8","16"
"loonbos","8","8","16"
"MariaCurca","7","9","16"
"Melanholik655","7","9","16"
"MoUcHeSs0707","9","7","16"
"Pikachu-bjksatranc","9","7","16"
"playerinho","8","8","16"
"qrcode123","7","9","16"
"Rjlc10","7","9","16"
"Schmuusi","8","8","16"
"SHLOKMORGHARE8392","9","7","16"
"Talent86","7","9","16"
"Tide0","8","8","16"
"Adidodu","6","9","15"
"Ashllett","6","9","15"
"Bibleuniversecom","7","8","15"
"bylochka_s_korizey","7","8","15"
"Chess_Passion_7","7","8","15"
"CuberZeke","8","7","15"
"dany100","6","9","15"
