"player","white_games","black_games","total"
"AAPIHLIS","3","4","7"
"abhilashgoudk","4","3","7"
"Abomo_tasem","3","4","7"
"Accord_07-1305","3","4","7"
"AchillianNestaurious","3","4","7"
"AchimKasperski","3","4","7"
"AFC1950","4","3","7"
"Aldoushappy","3","4","7"
"Ali9711","3","4","7"
"aliiiadm","4","3","7"
"Alischer","3","4","7"
"Alkhalidi83","4","3","7"
"alsekaz","3","4","7"
"amathp","3","4","7"
"amkamk","4","3","7"
"Andre919","2","5","7"
"AndrewML","3","4","7"
"AnonymousPlayerT","3","4","7"
"antoniolisboa_1","4","3","7"
"antoniort22","4","3","7"
"AntonMinko","3","4","7"
"ArnieGomatam","2","5","7"
"Arsch_mit_Ohr","4","3","7"
"ASDECARREAU","4","3","7"
"ashkan081","5","2","7"
"Ason103","3","4","7"
"AugustineMaximilian","3","4","7"
"B0r1S1","4","3","7"
"ballamai","3","4","7"
"banoo82","2","5","7"
"berndsuperstars","4","3","7"
"BmArAm183","4","3","7"
"BOLJMOR2010","3","4","7"
"brtkumlu","3","4","7"
"Bubsyhenry","3","4","7"
"BuLucee","4","3","7"
"C_a_n_o_n","3","4","7"
"CaGeALe","3","4","7"
"cellulog","6","1","7"
"chackota","3","4","7"
"Chess-8419","4","3","7"
"chesschron","2","5","7"
"Chessforme111","4","3","7"
"churochango85","4","3","7"
"cilenedossantos","5","2","7"
"CLMO29","3","4","7"
"danchess12345","4","3","7"
"darushmoalemi","4","3","7"
"DavyGreen","3","4","7"
"daytona12","5","2","7"
"deechernenkodoc","2","5","7"
"Deepu585","4","3","7"
"dhion","5","2","7"
"dimamakeev","5","2","7"
"dimkampr","2","5","7"
"DimonLimon5","3","4","7"
"DinoSchach01","5","2","7"
"Dmit1231_12","4","3","7"
"Dmitry_Yankin","3","4","7"
"doaadoaa22","3","4","7"
"Dolbano","4","3","7"
"Dollabill","4","3","7"
"E_F15","4","3","7"
"edoubleu1994","4","3","7"
"EinarGonzalez","5","2","7"
"ELO_1500","3","4","7"
"Elsambo123","4","3","7"
"emircobic","4","3","7"
"emmaasg","4","3","7"
"Emmarmel","4","3","7"
"epiv","4","3","7"
"ercheamoorthy","5","2","7"
"Eskamoter","2","5","7"
"Euneljoh","5","2","7"
"Fabiano___Caruana","4","3","7"
"fazlaacemi","4","3","7"
"felipemaragni","4","3","7"
"FireFishBOT","4","3","7"
"Fitkioshi36","4","3","7"
"Frettiso","2","5","7"
"FYUCEL","3","4","7"
"G-masta","3","4","7"
"Gav17","5","2","7"
"Gavrosh67","3","4","7"
"GiorgioMastrota","4","3","7"
"Glossariy","4","3","7"
"Godwin_eke","3","4","7"
"Goingvegan","2","5","7"
"GregoryGorokhov","4","3","7"
"Halehandros","3","4","7"
"HaroldCrick","2","5","7"
"harrychesscoach","2","5","7"
"HarryHaller1","3","4","7"
"Helmut53","2","5","7"
"hut9600","3","4","7"
"IgorD110","4","3","7"
"InesL","5","2","7"
"ivarhe","3","4","7"
"jmgreeny","4","3","7"
"Joelkings","3","4","7"
"JulioBI","3","4","7"
"juliochen","4","3","7"
"JurCheck","5","2","7"
"justchessin789","4","3","7"
"Juzz82","1","6","7"
